_date,total_views,unique_views
2021-09-27,4,1
2021-10-06,3,1
2021-10-07,30,19
2021-10-08,16,8
2021-10-09,110,2
2021-10-10,6,1
2021-10-11,13,3
2021-10-12,2,2
2021-10-14,1,1
2021-10-15,1,1
2021-10-18,1,1
2021-10-25,5,1
2021-10-27,2,1
2021-11-02,4,1
