_date,total_clones,unique_clones
2021-09-27,1,1
2021-09-30,1,1
2021-10-04,1,1
2021-10-09,9,6
2021-10-10,2,2
2021-10-15,1,1
2021-10-17,1,1
2021-10-21,5,1
2021-10-24,6,2
2021-10-31,2,2
2021-11-07,2,2
2021-11-14,2,2
2021-11-21,1,1
